Subject (string),Hypothesis (string),Variable (string),Time (string),Expected (float),Observed (float),Likelihood (float)
fisheries,schaefer,CPUE,1966,1.1186659936049825,1.31,-28.78363423956707
fisheries,schaefer,CPUE,1967,1.0662119462099675,0.91,-28.78363423956707
fisheries,schaefer,CPUE,1968,0.9507152487472085,0.96,-28.78363423956707
fisheries,schaefer,CPUE,1969,0.888247079440374,0.88,-28.78363423956707
fisheries,schaefer,CPUE,1970,0.8032127149353668,0.9,-28.78363423956707
fisheries,schaefer,CPUE,1971,0.7449544526651131,0.87,-28.78363423956707
fisheries,schaefer,CPUE,1972,0.5930848098545309,0.72,-28.78363423956707
fisheries,schaefer,CPUE,1973,0.5413463317153315,0.57,-28.78363423956707
fisheries,schaefer,CPUE,1974,0.5129574664729301,0.45,-28.78363423956707
fisheries,schaefer,CPUE,1975,0.4874646338027645,0.42,-28.78363423956707
fisheries,schaefer,CPUE,1976,0.42734541759141453,0.42,-28.78363423956707
fisheries,schaefer,CPUE,1977,0.4085391457044576,0.49,-28.78363423956707
fisheries,schaefer,CPUE,1978,0.3972470684741218,0.43,-28.78363423956707
fisheries,schaefer,CPUE,1979,0.41942272203617414,0.4,-28.78363423956707
fisheries,schaefer,CPUE,1980,0.4743036649293552,0.45,-28.78363423956707
fisheries,schaefer,CPUE,1981,0.5366088631833095,0.55,-28.78363423956707
fisheries,schaefer,CPUE,1982,0.5668229738377892,0.53,-28.78363423956707
fisheries,schaefer,CPUE,1983,0.5817896390111745,0.58,-28.78363423956707
fisheries,schaefer,CPUE,1984,0.5916242882800508,0.64,-28.78363423956707
fisheries,schaefer,CPUE,1985,0.6090031466788027,0.66,-28.78363423956707
fisheries,schaefer,CPUE,1986,0.6181323658783516,0.65,-28.78363423956707
fisheries,schaefer,CPUE,1987,0.6305185836284624,0.63,-28.78363423956707
