Year,Plant Code,Increment (mm)
1958,S8N0101A,0.27
1959,S8N0101A,0.32
1960,S8N0101A,0.56
1961,S8N0101A,0.19
1962,S8N0101A,0.2
1963,S8N0101A,0.4
1964,S8N0101A,0.88
1965,S8N0101A,1.23
1966,S8N0101A,1.12
1967,S8N0101A,1.36
1968,S8N0101A,0.15
1969,S8N0101A,0.77
1970,S8N0101A,0.73
1971,S8N0101A,0.54
1972,S8N0101A,1.05
1973,S8N0101A,1.02
1974,S8N0101A,1.01
1975,S8N0101A,0.57
1976,S8N0101A,1.12
1977,S8N0101A,0.36
1978,S8N0101A,0.28
1979,S8N0101A,0.57
1980,S8N0101A,0.21
1981,S8N0101A,0.9
1982,S8N0101A,0.96
1983,S8N0101A,0.9
1984,S8N0101A,1.25
1985,S8N0101A,0.58
1986,S8N0101A,0.05
1987,S8N0101A,0.66
1988,S8N0101A,1.03
1989,S8N0101A,0.8
1990,S8N0101A,0.98
1991,S8N0101A,0.88
1992,S8N0101A,0.6
1993,S8N0101A,1.2
1994,S8N0101A,0.74
1995,S8N0101A,0.96
1996,S8N0101A,0.66
1997,S8N0101A,0.44
1998,S8N0101A,0.92
1999,S8N0101A,0.23
2000,S8N0101A,0.57
2001,S8N0101A,0.36
2002,S8N0101A,0.36
2003,S8N0101A,0.6
2004,S8N0101A,0.72
2005,S8N0101A,0.56
1971,S8N0102A,0.33
1972,S8N0102A,0.56
1973,S8N0102A,0.52
1974,S8N0102A,0.68
1975,S8N0102A,0.51
1976,S8N0102A,1.11
1977,S8N0102A,0.75
1978,S8N0102A,0.43
1979,S8N0102A,1.07
1980,S8N0102A,0.49
1981,S8N0102A,1.18
1982,S8N0102A,1.09
1983,S8N0102A,1.17
1984,S8N0102A,0.96
1985,S8N0102A,0.6
1986,S8N0102A,0.22
1987,S8N0102A,0.9
1988,S8N0102A,1.23
1989,S8N0102A,1.4
1990,S8N0102A,1.38
1991,S8N0102A,1.13
1992,S8N0102A,1.16
1993,S8N0102A,2.02
1994,S8N0102A,1.65
1995,S8N0102A,2.03
1996,S8N0102A,1.13
1997,S8N0102A,0.73
1998,S8N0102A,2.09
1999,S8N0102A,1.17
2000,S8N0102A,2.1
2001,S8N0102A,0.88
2002,S8N0102A,1.2
2003,S8N0102A,1.4
