Year	Hare	Lynx
1845-1-1	19.58	30.09
1846-1-1	19.6	45.15
1847-1-1	19.61	49.15
1848-1-1	11.99	39.52
1849-1-1	28.04	21.23
1850-1-1	58	8.42
1851-1-1	74.6	5.56
1852-1-1	75.09	5.08
1853-1-1	88.48	10.17
1854-1-1	61.28	19.6
1855-1-1	74.67	32.91
1856-1-1	88.06	34.38
1857-1-1	68.51	29.59
1858-1-1	32.19	21.3
1859-1-1	12.64	13.69
1860-1-1	21.49	7.65
1861-1-1	30.35	4.08
1862-1-1	2.18	4.09
1863-1-1	152.65	14.33
1864-1-1	148.36	38.22
1865-1-1	85.81	60.78
1866-1-1	41.41	70.77
1867-1-1	14.75	72.77
1868-1-1	2.28	42.68
1869-1-1	5.91	16.39
1870-1-1	9.95	9.83
1871-1-1	10.44	5.8
1872-1-1	70.64	5.26
1873-1-1	50.12	18.91
1874-1-1	50.13	30.95
1875-1-1	101.25	31.18
1876-1-1	97.12	46.34
1877-1-1	86.51	45.77
1878-1-1	72.17	44.15
1879-1-1	38.32	36.33
1880-1-1	10.11	12.03
1881-1-1	7.74	12.6
1882-1-1	9.67	18.34
1883-1-1	43.12	35.14
1884-1-1	52.21	43.77
1885-1-1	134.85	65.69
1886-1-1	134.86	79.35
1887-1-1	103.79	51.65
1888-1-1	46.1	32.59
1889-1-1	15.03	22.45
1890-1-1	24.2	16.16
1891-1-1	41.65	14.12
1892-1-1	52.34	20.38
1893-1-1	53.78	33.33
1894-1-1	70.4	46
1895-1-1	85.81	51.41
1896-1-1	56.69	46.43
1897-1-1	16.59	33.68
1898-1-1	6.16	18.01
1899-1-1	2.3	8.86
01/01/1900	12.82	7.13
01/01/1901	4.72	9.47
01/01/1902	4.73	14.86
01/01/1903	37.22	31.47
01/01/1904	69.72	60.57
01/01/1905	57.78	63.51
01/01/1906	28.68	54.7
01/01/1907	23.37	6.3
01/01/1908	21.54	3.41
01/01/1909	26.34	5.44
01/01/1910	53.1	11.65
01/01/1911	68.48	20.35
01/01/1912	75.58	32.88
01/01/1913	57.92	39.55
01/01/1914	40.97	43.36
01/01/1915	24.95	40.83
01/01/1916	12.59	30.36
01/01/1917	4.97	17.18
01/01/1918	4.5	6.82
01/01/1919	11.21	3.19
01/01/1920	56.6	3.52
01/01/1921	69.63	9.94
01/01/1922	77.74	20.3
01/01/1923	80.53	31.99
01/01/1924	73.38	42.36
01/01/1925	36.93	49.08
01/01/1926	4.64	53.99
01/01/1927	2.54	52.25
01/01/1928	1.8	37.7
01/01/1929	2.39	19.14
01/01/1930	4.23	6.98
01/01/1931	19.52	8.31
01/01/1932	82.11	16.01
01/01/1933	89.76	24.82
01/01/1934	81.66	29.7
01/01/1935	15.76	35.4
