Subject,ModelId,OptimStage,OptimSubstage,Replicate,Iteration,AnalysisId,ParameterCode,NegativeLogLikelihood (float),ParameterValue (float)
fisheries,schaefer,Pre-tune,None,1,200,546272fd-1817-4d29-a66b-93dc696e41f8,K,-3.7350459509334053,1538.4704008220156
fisheries,schaefer,Pre-tune,None,1,200,546272fd-1817-4d29-a66b-93dc696e41f8,q,-3.7350459509334053,0.0005424929321372164
fisheries,schaefer,Pre-tune,None,1,200,546272fd-1817-4d29-a66b-93dc696e41f8,r,-3.7350459509334053,1.1197653614957104
fisheries,schaefer,Pre-tune,None,1,200,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-3.7350459509334053,0.3443459054078094
fisheries,schaefer,Pre-tune,None,1,400,546272fd-1817-4d29-a66b-93dc696e41f8,K,-5.278150424120971,1536.641743746428
fisheries,schaefer,Pre-tune,None,1,400,546272fd-1817-4d29-a66b-93dc696e41f8,q,-5.278150424120971,0.000847411065730619
fisheries,schaefer,Pre-tune,None,1,400,546272fd-1817-4d29-a66b-93dc696e41f8,r,-5.278150424120971,0.8661809931707453
fisheries,schaefer,Pre-tune,None,1,400,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-5.278150424120971,0.3360988318594978
fisheries,schaefer,Pre-tune,None,1,600,546272fd-1817-4d29-a66b-93dc696e41f8,K,-5.788621359657987,1569.3963978941217
fisheries,schaefer,Pre-tune,None,1,600,546272fd-1817-4d29-a66b-93dc696e41f8,q,-5.788621359657987,0.0012719446563749784
fisheries,schaefer,Pre-tune,None,1,600,546272fd-1817-4d29-a66b-93dc696e41f8,r,-5.788621359657987,0.8253366300646143
fisheries,schaefer,Pre-tune,None,1,600,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-5.788621359657987,0.33952345560274433
fisheries,schaefer,Pre-tune,None,1,800,546272fd-1817-4d29-a66b-93dc696e41f8,K,-5.788621359657987,1569.3963978941217
fisheries,schaefer,Pre-tune,None,1,800,546272fd-1817-4d29-a66b-93dc696e41f8,q,-5.788621359657987,0.0012719446563749784
fisheries,schaefer,Pre-tune,None,1,800,546272fd-1817-4d29-a66b-93dc696e41f8,r,-5.788621359657987,0.8253366300646143
fisheries,schaefer,Pre-tune,None,1,800,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-5.788621359657987,0.33952345560274433
fisheries,schaefer,Pre-tune,None,1,1000,546272fd-1817-4d29-a66b-93dc696e41f8,K,-5.788621359657987,1569.3963978941217
fisheries,schaefer,Pre-tune,None,1,1000,546272fd-1817-4d29-a66b-93dc696e41f8,q,-5.788621359657987,0.0012719446563749784
fisheries,schaefer,Pre-tune,None,1,1000,546272fd-1817-4d29-a66b-93dc696e41f8,r,-5.788621359657987,0.8253366300646143
fisheries,schaefer,Pre-tune,None,1,1000,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-5.788621359657987,0.33952345560274433
fisheries,schaefer,Pre-tune,None,1,1200,546272fd-1817-4d29-a66b-93dc696e41f8,K,-5.788621359657987,1569.3963978941217
fisheries,schaefer,Pre-tune,None,1,1200,546272fd-1817-4d29-a66b-93dc696e41f8,q,-5.788621359657987,0.0012719446563749784
fisheries,schaefer,Pre-tune,None,1,1200,546272fd-1817-4d29-a66b-93dc696e41f8,r,-5.788621359657987,0.8253366300646143
fisheries,schaefer,Pre-tune,None,1,1200,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-5.788621359657987,0.33952345560274433
fisheries,schaefer,Pre-tune,None,1,1400,546272fd-1817-4d29-a66b-93dc696e41f8,K,-3.857988206195082,1722.1816978546562
