Year,Plant Code,Increment (mm)
1976-01-01,YUSL01A,0.43
1977-01-01,YUSL01A,0.35
1978-01-01,YUSL01A,0.31
1979-01-01,YUSL01A,0.51
1980-01-01,YUSL01A,0.62
1981-01-01,YUSL01A,0.47
1982-01-01,YUSL01A,0.96
1983-01-01,YUSL01A,0.46
1984-01-01,YUSL01A,0.78
1985-01-01,YUSL01A,0.68
1986-01-01,YUSL01A,0.65
1987-01-01,YUSL01A,0.72
1988-01-01,YUSL01A,0.75
1989-01-01,YUSL01A,1.09
1990-01-01,YUSL01A,0.99
1991-01-01,YUSL01A,0.52
1992-01-01,YUSL01A,0.37
1993-01-01,YUSL01A,0.93
1994-01-01,YUSL01A,0.99
1995-01-01,YUSL01A,1.1
1996-01-01,YUSL01A,1.13
1997-01-01,YUSL01A,0.68
1998-01-01,YUSL01A,0.93
1999-01-01,YUSL01A,0.59
2000-01-01,YUSL01A,1.1
2001-01-01,YUSL01A,0.42
2002-01-01,YUSL01A,0.63
2003-01-01,YUSL01A,0.88
2004-01-01,YUSL01A,0.65
2005-01-01,YUSL01A,0.81
2006-01-01,YUSL01A,0.85
2007-01-01,YUSL01A,0.99
2008-01-01,YUSL01A,0.95
2009-01-01,YUSL01A,0.82
2010-01-01,YUSL01A,0.7
2011-01-01,YUSL01A,1.04
2012-01-01,YUSL01A,1.46
1968-01-01,YUSL02A,0.2
1969-01-01,YUSL02A,0.38
1970-01-01,YUSL02A,0.22
1971-01-01,YUSL02A,0.33
1972-01-01,YUSL02A,0.22
1973-01-01,YUSL02A,0.2
1974-01-01,YUSL02A,0.18
1975-01-01,YUSL02A,0.26
1976-01-01,YUSL02A,0.28
1977-01-01,YUSL02A,0.25
1978-01-01,YUSL02A,0.17
1979-01-01,YUSL02A,0.32
1980-01-01,YUSL02A,0.39
1981-01-01,YUSL02A,0.24
1982-01-01,YUSL02A,0.69
1983-01-01,YUSL02A,0.29
1984-01-01,YUSL02A,0.77
1985-01-01,YUSL02A,0.66
1986-01-01,YUSL02A,0.6
1987-01-01,YUSL02A,0.4
1988-01-01,YUSL02A,0.43
1989-01-01,YUSL02A,0.75
1990-01-01,YUSL02A,0.9
1991-01-01,YUSL02A,1.06
1992-01-01,YUSL02A,0.97
1993-01-01,YUSL02A,2
